ID,Species,Scientific.Name
538,Pomarine Jaeger,Stercorarius pomarinus
539,Parasitic Jaeger,Stercorarius parasiticus
540,Long-tailed Jaeger,Stercorarius longicaudus
541,Dovekie,Alle alle
542,Common Murre,Uria aalge
543,Thick-billed Murre,Uria lomvia
544,Razorbill,Alca torda
545,Great Auk,Pinguinus impennis
546,Black Guillemot,Cepphus grylle
547,Pigeon Guillemot,Cepphus columba
548,Long-billed Murrelet,Brachyramphus perdix
549,Marbled Murrelet,Brachyramphus marmoratus
550,Kittlitz's Murrelet,Brachyramphus brevirostris
551,Scripps's Murrelet,Synthliboramphus scrippsi
552,Guadalupe Murrelet,Synthliboramphus hypoleucus
553,Craveri's Murrelet,Synthliboramphus craveri
554,Ancient Murrelet,Synthliboramphus antiquus
555,Cassin's Auklet,Ptychoramphus aleuticus
556,Parakeet Auklet,Aethia psittacula
557,Least Auklet,Aethia pusilla
558,Whiskered Auklet,Aethia pygmaea
559,Crested Auklet,Aethia cristatella
560,Rhinoceros Auklet,Cerorhinca monocerata
561,Atlantic Puffin,Fratercula arctica
562,Horned Puffin,Fratercula corniculata
563,Tufted Puffin,Fratercula cirrhata
564,Swallow-tailed Gull,Creagrus furcatus
565,Black-legged Kittiwake,Rissa tridactyla
566,Red-legged Kittiwake,Rissa brevirostris
567,Ivory Gull,Pagophila eburnea
568,Sabine's Gull,Xema sabini
569,Bonaparte's Gull,Chroicocephalus philadelphia
570,Gray-hooded Gull,Chroicocephalus cirrocephalus
571,Black-headed Gull,Chroicocephalus ridibundus
572,Little Gull,Hydrocoloeus minutus
573,Ross's Gull,Rhodostethia rosea
574,Gray Gull,Leucophaeus modestus
575,Laughing Gull,Leucophaeus atricilla
576,Franklin's Gull,Leucophaeus pipixcan
577,Belcher's Gull,Larus belcheri
578,Black-tailed Gull,Larus crassirostris
579,Heermann's Gull,Larus heermanni
580,Mew Gull,Larus canus
581,Ring-billed Gull,Larus delawarensis
582,Western Gull,Larus occidentalis
583,Yellow-footed Gull,Larus livens
584,California Gull,Larus californicus
585,Herring Gull,Larus argentatus
586,Yellow-legged Gull,Larus michahellis
587,Iceland Gull,Larus glaucoides
588,Lesser Black-backed Gull,Larus fuscus
589,Slaty-backed Gull,Larus schistisagus
590,Glaucous-winged Gull,Larus glaucescens
591,Glaucous Gull,Larus hyperboreus
592,Great Black-backed Gull,Larus marinus
593,Kelp Gull,Larus dominicanus
594,Brown Noddy,Anous stolidus
595,Black Noddy,Anous minutus
596,Blue-gray Noddy,Anous ceruleus
597,White Tern,Gygis alba
598,Sooty Tern,Onychoprion fuscatus
599,Gray-backed Tern,Onychoprion lunatus
600,Bridled Tern,Onychoprion anaethetus
601,Aleutian Tern,Onychoprion aleuticus
602,Little Tern,Sternula albifrons
603,Least Tern,Sternula antillarum
604,Yellow-billed Tern,Sternula superciliaris
605,Large-billed Tern,Phaetusa simplex
606,Gull-billed Tern,Gelochelidon nilotica
607,Caspian Tern,Hydroprogne caspia
608,Inca Tern,Larosterna inca
609,Black Tern,Chlidonias niger
610,White-winged Tern,Chlidonias leucopterus
611,Whiskered Tern,Chlidonias hybrida
612,Roseate Tern,Sterna dougallii
613,Common Tern,Sterna hirundo
614,Arctic Tern,Sterna paradisaea
615,Forster's Tern,Sterna forsteri
616,Royal Tern,Thalasseus maximus
617,Great Crested Tern,Thalasseus bergii
618,Sandwich Tern,Thalasseus sandvicensis
619,Elegant Tern,Thalasseus elegans
620,Black Skimmer,Rynchops niger
621,Sunbittern,Eurypyga helias
622,White-tailed Tropicbird,Phaethon lepturus
